origin,destination,distance_meters,duration_seconds,duration_in_traffic_seconds,timestamp,hour,day,month,weekday,is_weekend
"Times Square, New York, NY","Central Park, New York, NY",1140,299,205,2024-10-18 12:41:32.783826,12.0,18.0,10.0,4.0,0
"Times Square, New York, NY","Central Park, New York, NY",1140,299,210,,,,,,0
"Times Square, New York, NY","Central Park, New York, NY",1140,299,198,,,,,,0
"Times Square, New York, NY","Brooklyn Bridge, New York, NY",6722,1538,968,,,,,,0
"Times Square, New York, NY","Statue of Liberty, New York, NY",10197,1363,1075,,,,,,0
"Times Square, New York, NY","Metropolitan Museum of Art, New York, NY",6016,1385,856,,,,,,0
"Times Square, New York, NY","Empire State Building, New York, NY",1655,479,296,,,,,,0
"Times Square, New York, NY","One World Trade Center, New York, NY",8544,1510,1209,,,,,,0
"Times Square, New York, NY","Fifth Avenue, New York, NY",3151,769,562,,,,,,0
"Times Square, New York, NY","Coney Island, Brooklyn, NY",28346,2761,2170,,,,,,0
"Times Square, New York, NY","Wall Street, New York, NY",7228,1770,1105,,,,,,0
"Central Park, New York, NY","Brooklyn Bridge, New York, NY",10492,1159,842,,,,,,0
"Central Park, New York, NY","Statue of Liberty, New York, NY",11415,1294,947,,,,,,0
"Central Park, New York, NY","Metropolitan Museum of Art, New York, NY",7010,1717,1003,,,,,,0
"Central Park, New York, NY","Empire State Building, New York, NY",2231,624,331,,,,,,0
"Central Park, New York, NY","One World Trade Center, New York, NY",12667,1391,1016,,,,,,0
"Central Park, New York, NY","Fifth Avenue, New York, NY",1345,206,143,,,,,,0
"Central Park, New York, NY","Coney Island, Brooklyn, NY",33477,2532,2109,,,,,,0
"Central Park, New York, NY","Wall Street, New York, NY",11616,1403,1015,,,,,,0
"Brooklyn Bridge, New York, NY","Statue of Liberty, New York, NY",3765,399,328,,,,,,0
"Brooklyn Bridge, New York, NY","Metropolitan Museum of Art, New York, NY",2268,318,221,,,,,,0
"Brooklyn Bridge, New York, NY","Empire State Building, New York, NY",9093,964,790,,,,,,0
"Brooklyn Bridge, New York, NY","One World Trade Center, New York, NY",5016,497,399,,,,,,0
"Brooklyn Bridge, New York, NY","Fifth Avenue, New York, NY",12400,1248,969,,,,,,0
"Brooklyn Bridge, New York, NY","Coney Island, Brooklyn, NY",22853,1572,1244,,,,,,0
"Brooklyn Bridge, New York, NY","Wall Street, New York, NY",2907,457,350,,,,,,0
"Statue of Liberty, New York, NY","Metropolitan Museum of Art, New York, NY",2052,610,411,,,,,,0
"Statue of Liberty, New York, NY","Empire State Building, New York, NY",8912,1086,867,,,,,,0
"Statue of Liberty, New York, NY","One World Trade Center, New York, NY",1597,374,281,,,,,,0
"Statue of Liberty, New York, NY","Fifth Avenue, New York, NY",12219,1370,1044,,,,,,0
"Statue of Liberty, New York, NY","Coney Island, Brooklyn, NY",22407,1516,1387,,,,,,0
"Statue of Liberty, New York, NY","Wall Street, New York, NY",909,341,239,,,,,,0
"Metropolitan Museum of Art, New York, NY","Empire State Building, New York, NY",4868,1110,730,,,,,,0
"Metropolitan Museum of Art, New York, NY","One World Trade Center, New York, NY",2297,584,390,,,,,,0
"Metropolitan Museum of Art, New York, NY","Fifth Avenue, New York, NY",11489,1400,1066,,,,,,0
"Metropolitan Museum of Art, New York, NY","Coney Island, Brooklyn, NY",23047,1614,1502,,,,,,0
"Metropolitan Museum of Art, New York, NY","Wall Street, New York, NY",1351,442,288,,,,,,0
"Empire State Building, New York, NY","One World Trade Center, New York, NY",9792,1051,865,,,,,,0
"Empire State Building, New York, NY","Fifth Avenue, New York, NY",3740,868,703,,,,,,0
